Test Case ID,Test Scenario,Test Case Title,Pre-requisites,Test Steps,Test Data,Expected Result (ER),Actual Result,Priority,Result,Comments,Test Technique
TC_RF_010,"(TS_001) 
Register Functionality",Validate Registering an Account by providing an invalid email address into the E-Mail field,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name,Telephone, Password, Password Confirm, Newsletter and  Privacy Policy Fields) 
4. Enter invalid email address into the E-Mail Field - <Refer Test Data>
5. Click on 'Continue' button (ER-1)","Try all below invalid email address formats:
1) pavanol
2) pavanol@
3) pavanol@gmail
4) pavanol@gmail.com
","1. Account should not be created, instead a proper field level warning message or page level warning message to provide valid email address should be displayed",1. Warning messages as specified in the Expected Results got displayed,P3,PASS,,EP
TC_RF_011,"(TS_001) 
Register Functionality",Validate Registering an Account by providing an invalid phone number,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new  Account Details into all the Fields (First Name, Last Name,E-Mail, Password, Password Confirm, Newsletter and  Privacy Policy Fields)
4. Enter invalid phone number into the Telephone Field - <Refer Test Data>
5. Click on 'Continue' button (ER-1)","Try all below invalid phone formats:
1) 111
2) abcde
","1. Account should not be created, instead a proper warning message should be displayed","1. Warning message is not getting displayed, instead an Account is getting created with the given invalid phone number",P3,FAIL,OPENCART-BUG-2,EP
TC_RF_012,"(TS_001) 
Register Functionality",Validate Registering an Account by using the Keyboard keys,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm, Newsletter and  Privacy Policy Fields) by using Keyboard keys (Tab, Spacebar and Enter)
4. Click on 'Continue' button (ER-1)",Not Applicable,"1. User should be logged in,  taken to 'Account Succcess' page and proper details should be displayed on the page","1. User has logged in,  taken to 'Account Succcess' page and proper details are displayed on the page",P3,PASS,,
TC_RF_013,"(TS_001) 
Register Functionality",Validate all the fields in the Register Account page have the proper placeholders,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. View the First Name, Last Name, E-Mail, Telephone, Password, Password Confirm fields for Placeholders (ER-1)",Not Applicable,1. Proper Placeholder texts should be displayed in these fields,1. Proper Placeholder texts is displayed in these fields,P3,PASS,,Checklist
TC_RF_014,"(TS_001) 
Register Functionality",Validate all the mandatory fields in the Register Account page are marked with red color * symbol,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Check the Fields - First Name, Last Name, E-Mail, Telephone, Password, Password Confirm and Privacy Policy",Not Applicable,1. All the specified Fields in the Test Steps should be marked with red color * symbol,1. Privacy Policy field is not marked with red color * symbol,P3,FAIL,OPENCART-BUG-3,
TC_RF_015,"(TS_001) 
Register Functionality",Validate the details that are provided while Registering an Account are stored in the Database,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm, Newsletter and  Privacy Policy Fields)
4. Click on 'Continue' button (ER-1)
",Not Applicable,1. All the details entered while registering the account are successfully stored in the Database,1. Details are successfully stored in the Database,P2,PASS,,
TC_RF_016,"(TS_001) 
Register Functionality",Validate whether the Mandatory fields in the Register Account page are accepting only spaces,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter spaces into the Mandatory Fields (First Name, Last Name, E-Mail,Telephone, Password and Password Confirm)
4. Click on 'Continue' button (ER-1)
",Not Applicable,1. Warning message should be displayed for these Mandatory fields,1. Telephone field is accepting spaces and warning message is not getting displayed for the telephone field,P3,FAIL,OPENCART-BUG-4,EP
TC_RF_017,"(TS_001) 
Register Functionality",Validate whether the Password fields in the Register Account page are following Password Complexity Standards,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Newsletter and  Privacy Policy Fields)
4. Check entering simple passwords (Not following Password Complexity Standars' i.e. Size of password as 8, password should contain atleat one number, symbol, lower case letter and upper case letters) - <Refer Test Data>
5. Click on 'Continue' button (ER-1)",12345,1. Warning message should be displayed for following Password Complexity Standards,1. No warning message is getting displayed and a simple password is accepted by the fields,P3,FAIL,OPENCART-BUG-5,EP
TC_RF_018,"(TS_001) 
Register Functionality","Validate whether the fields in the Register Account page are according the Client requirements (Examples- Height, Width, Number of characters etc.)",1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Check all the fields (all the Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm, Newsletter and  Privacy Policy Fields) including the 'Continue' button (ER-1)",Not Applicable,1. Text fields should abide to the Client requirements,Text fields abide to the Client requirements,P3,PASS,,
TC_RF_019,"(TS_001) 
Register Functionality",Validate whether the leading and trailing spaces entered into the Register Account fields are trimmed,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm, Newsletter and  Privacy Policy Fields) - by adding leading and trailing spaces to the applicable fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm)
4. Click on 'Continue' button (ER-1)
",Not Applicable,1. The leading and trailing spaces entered into these fields should automatically get trimmed on successful account creation,The leading and trailing spaces entered into these fields are not getting trimmed,P3,FAIL,OPENCART-BUG-6,EP
TC_RF_020,"(TS_001) 
Register Functionality",Validate whether the 'Privacy Policy' checkbox option is not selected by default,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. View the 'Privacy Policy' checkbox option (ER-1)",Not Applicable,1. 'Privacy Policy' checkbox option is not selected by default,Privacy Policy' checkbox option is not selected by default,P3,PASS,,
TC_RF_021,"(TS_001) 
Register Functionality",Validate Registering the Account without selecting the 'Privacy Policy' checkbox option,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Password, Password Confirm and Newsletter Fields) 
4. Don't select the 'Privacy Policy' checkbox option
4. Click on 'Continue' button (ER-1)
",Not Applicable,1. Warning message - 'Warning: You must agree to the Privacy Policy!' should be displayed,Warning message - 'Warning: You must agree to the Privacy Policy!' is displayed,P3,PASS,,EP
TC_RF_022,"(TS_001) 
Register Functionality",Validate the Password text entered into the 'Password' and 'Password Confirm' field of 'Register Account' functionality is toggled to hide its visibility,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter some Password text into the 'Password' and 'Password Confirm' fields (ER-1)",Not Applicable,1.Password text entered into 'Password' and 'Password Confirm' fields need to be toggled to hide its visibilty (It should be hidden by displaying * or . Symbols),Password text entered into 'Password' and 'Password Confirm' fields toggled to hide its visibilty (It is hidden by displaying . Symbols),P3,PASS,,
TC_RF_023,"(TS_001) 
Register Functionality",Validate navigating to other pages using the options or links provided on the 'Register Account' page,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Try clicking on 'login page' link, 'privacy policy' link, 'Right Column' options, Menu options, Header and Footer options and any other options",Not Applicable,1. User should be navigated to the respective pages without any problems,User is navigated to the respective pages without any problems,P3,PASS,,Checklist
TC_RF_024,"(TS_001) 
Register Functionality","Validate Registring an Account, by filling 'Password' field and not filling 'Password Confirm' field",1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option 
3. Enter new Account Details into all the Fields (First Name, Last Name, E-Mail,Telephone, Password, Newsletter and  Privacy Policy Fields)
4. Don't enter into 'Password Confirm' field
5. Click on 'Continue' button (ER-1)
",Not Applicable,1. Warning message - 'Password confirmation does not match password!' should be displayed under 'Password Confirm' field,Warning message - 'Password confirmation does not match password!' is displayed under 'Password Confirm' field,P3,PASS,,EP
TC_RF_025,"(TS_001) 
Register Functionality","Validate the Breadcrumb, Page Heading, Page URL, Page Title of 'Register Account' Page",1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option ",Not Applicable,"1. Proper Breadcrumb, Page Heading, Page URL and Page Title should be displayed","Proper Breadcrumb, Page Heading, Page URL and Page Title are displayed",P3,PASS,,Checklist
TC_RF_026,"(TS_001) 
Register Functionality",Validate the UI of the 'Register Account' page,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option ",Not Applicable,1. Proper and good UI should be displayed on the 'Register Account' page,Proper and good UI are displayed on the 'Register Account' page,P3,PASS,,Checklist
TC_RF_027,"(TS_001) 
Register Functionality",Validate 'Register Account' functionality in all the supported environments,1. Open the Application (https://demo.opencart.com) in any Browser,"1. Click on 'My Account' Drop menu
2. Click on 'Register' option ",Not Applicable,1.'Register Account' functionality should work in all the supported environments,Register Account' functionality is working in all the supported environments,P2,PASS,,
